Set,Tube,Envelope,Source,Ear,Sample,Rep,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Rb85,Sr88,Mo98,Cd111
R5,62,8,NY,3,middle,7,46.5,104.5,2145,12.7,6295,3976,8577,55,69,9.75,47.2,0.0108,0.24,1.76,42.4,0.006,1.56,0.056,0.148,0.009
R5,63,9,NY,3,tip,7,58.8,120,2532,13,7361,5471,9405,55,72,12.07,61,0.0133,0.34,2.36,68.9,0.002,1.81,0.044,0.2,0.008
R5,64,1,NY,1,base,8,30.1,76.3,1899,7.6,6016,3364,8691,53,56,9.34,38.8,0.0097,0.21,2.63,32.3,0.002,1.24,0.047,0.149,0.003
R5,65,2,NY,1,middle,8,21.7,44.2,2174,4,6360,4040,8441,72,73,10.63,40.7,0.0126,0.2,1.69,37.5,0.003,1.32,0.068,0.137,0.015
R5,66,3,NY,1,tip,8,25.8,54.7,2384,5.6,6900,4841,9286,56,62,11.59,51.2,0.0069,0.46,2.09,53.5,0.005,1.55,0.031,0.207,0.004
R5,67,4,NY,2,base,8,24.9,67.1,2382,5.3,7171,4195,9916,73,70,13.42,40.9,0.0081,0.24,2.02,45.3,0.002,1.95,0.061,0.137,0.007
R5,68,5,NY,2,middle,8,21.9,47.6,2206,4.2,6457,4162,8412,38,49,11.2,43.1,0.0091,0.24,1.46,47.7,0.005,1.88,0.031,0.115,0.005
R5,69,6,NY,2,tip,8,33.7,67.4,2390,5.7,6716,4831,8698,41,52,10.71,53.4,0.0095,0.32,1.61,61.7,0.001,1.98,0.026,0.16,0.01
R5,70,7,NY,3,base,8,27.5,70,2055,7.4,6138,3455,8378,54,50,9.35,37.7,0.005,0.16,2.26,37.3,0.001,1.5,0.047,0.139,0.013
R5,71,8,NY,3,middle,8,23.6,48.9,1965,4.4,5747,3557,7757,59,58,8.95,40.5,0.0083,0.19,1.73,39.5,0.003,1.5,0.06,0.141,0.005
R5,72,9,NY,3,tip,8,50.8,117,2228,11.8,6273,4174,8151,56,55,10.16,48.2,0.0095,0.22,1.64,48,0.003,1.61,0.053,0.152,0.009
