row,set,Tube,weights,Line,Su,B11,Na23,Mg25,Al27,Si29,P31,S34,K39,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Mo98,Cd114
07U3974,R5,11,0.2776,(B73_Il14H)S5,NA,321.6746558,149.3834893,2032.099257,22.79588943,1567.14543,3785.695525,1771.429899,3530.414046,117.538411,5.325344559,29.34281458,0.002712387,0.171462571,1.129040277,15.39350568,0.170571159,0.116450624,2.149705298,0.177704021,0.059753579
07U3975,R5,12,0.1653,(B73_Il14H)S5,NA,468.4149842,199.8469786,2372.169555,25.56234717,5114.682905,4630.291592,2250.965899,4650.41268,215.7887832,13.00374628,38.48172373,0.003390027,0.172976198,1.345227752,12.23920706,0.286209242,0.207422479,2.561384934,0.180548149,0.015804003
07U3977,R5,13,0.2277,(B73_Il14H)S5,NA,269.3980169,122.6375506,2761.737809,12.08261553,2059.733814,4504.241083,2517.655893,3209.520399,166.7451058,7.364489054,31.65990727,0.003380261,0.586975002,1.830848697,27.48243689,0.1997334,0.101728913,1.73178039,0.185643012,0.010044863
07U3978,R5,14,0.1815,(B73_Il14H)S5,NA,384.9588537,190.8149733,2338.000145,25.81063987,2518.009876,4662.853949,2979.416805,5679.053338,161.781837,4.670827539,31.69933952,0.006134372,0.208639866,1.74434114,25.06761543,0.279697263,0.11818818,3.727059048,0.180131124,0.072856532
07U3979,R5,15,0.3198,(B73_Il14H)S5,NA,302.6706886,137.7025482,2268.680416,18.23954897,1123.496693,3924.398094,1982.34326,3544.943329,196.0378385,4.904443372,30.93197514,0.005046995,0.352705851,3.127839506,86.23856728,0.145105093,0.050058871,2.718497106,0.14322191,0.594880278
07U3980,R5,16,0.2637,(B73_Il14H)S5,NA,184.7338234,89.74882802,2049.602065,8.875986486,877.7919089,3243.820294,2182.482426,3679.963652,107.0508712,2.911539988,32.89114682,0.002498589,0.492108287,1.281198905,23.3049125,0.188250534,1.042621735,2.646165513,0.094738118,0.076322345
07U3981,R5,17,0.2215,(B73_Il14H)S5,NA,261.5759915,133.1533177,1975.080632,17.34229317,1425.983713,3089.13773,1600.665113,3119.79255,135.7483592,2.56909505,28.59913775,0.004349667,0.483264092,1.345463555,16.0299063,0.225118466,0.044021205,2.621793931,0.093191207,0.080807375
07U3982,R5,18,0.2833,(B73_Il14H)S5,NA,192.802167,98.20812859,2061.167836,14.3973413,983.8151503,3378.575606,1708.262761,3167.971729,123.7671527,9.78525485,28.88953484,0.004168225,0.440961912,2.143613024,25.59088065,0.169122964,0.208273095,2.094402777,0.125035736,0.146876422
07U3983,R5,19,0.1342,(B73_Il14H)S5,NA,642.7284516,308.3311265,2353.36434,50.81120994,2199.316587,3709.683888,2029.623652,3389.1147,222.4784565,4.080037279,42.30039496,0.006096114,0.404954326,1.526463615,17.24057718,0.371546055,0.287458909,1.775732602,0.119514535,0.014481887
07U3984,R5,20,0.1942,(B73_Il14H)S5,NA,297.5929857,146.7859183,2082.493419,15.06447897,1133.287205,4388.359844,2216.547793,4431.817596,158.7860537,3.372436967,31.68986145,0.00264677,0.128846351,1.945889249,13.34527489,0.252865936,0.757374902,4.930443786,0.119480088,0.042569439
07U3985,R5,21,0.2078,(B73_Il14H)S5,NA,458.7579068,221.2243323,2249.869996,30.81200711,1724.82285,3694.171969,2063.072721,3880.336024,141.3329948,6.625372376,27.99818941,0.004562441,0.426036395,1.186013315,19.80978853,0.219499959,0.230187848,2.311751955,0.156552199,0.005170193
07U3986,R5,22,0.2818,(B73_Il14H)S5,NA,187.4110823,90.88537895,2418.342312,9.508316216,1238.356103,3810.400191,1893.974917,3011.735472,115.4349426,7.792050815,28.77213792,0.002957985,0.184316365,2.438825599,17.7493452,0.177114635,0.10699379,1.808640672,0.121233971,0.099438054
07U3987,R5,23,0.2318,(B73_Il14H)S5,NA,369.6444384,174.151749,2106.632285,27.57300729,2048.18561,3478.055827,2034.454378,4259.789391,157.2859181,4.652308785,27.37611258,0.006432926,0.358392155,1.837674753,21.45329909,0.215313066,0.215978536,2.492047887,0.186531705,0.049352294
